Sex,Race/Ethnicity,Age,Year,Survival Time,5-Year Relative Survival Rate (Percent Survivng),5-Year Relative Survival Rate Lower Confidence Interval,5-Year Relative Survival Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2004,77.0547,72.8701,80.6808,,,,,
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2005,72.6447,68.0756,76.6745,,,,,
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2006,77.1755,72.7895,80.9485,,,,,
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2007,78.8335,74.6759,82.3901,,,,,
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2008,76.9294,72.9491,80.4041,,,,,
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2009,76.848,72.6618,80.4809,,,,,
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2010,79.4578,75.3868,82.9326,,,,,
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2011,79.9824,75.927,83.4301,,,,,
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2012,-,-,-,,,,,
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2013,-,-,-,,,,,
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2014,-,-,-,,,,,
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2015,-,-,-,,,,,
Both Sexes,Black (includes Hispanic),Ages < 20,5 years,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2000,78.2922,78.1179,78.4653,2000-2004,0.1523,0.0124,0.2921,Trend is Rising
Both Sexes,White (includes Hispanic),All Ages,1 year,2001,78.6611,78.4892,78.8318,2004-2007,0.4675,0.3189,0.616,Trend is Rising
Both Sexes,White (includes Hispanic),All Ages,1 year,2002,78.8741,78.7029,79.044,2007-2015,0.0128,-0.046,0.0717,Stable
Both Sexes,White (includes Hispanic),All Ages,1 year,2003,78.6687,78.4954,78.8408,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2004,79.2354,79.0651,79.4046,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2005,79.3845,79.2129,79.5549,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2006,79.9333,79.767,80.0985,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2007,80.4558,80.2929,80.6176,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2008,80.6361,80.4742,80.7969,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2009,80.895,80.7344,81.0544,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2010,80.876,80.7146,81.0362,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2011,81.4168,81.2574,81.575,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2012,80.7926,80.6305,80.9534,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2013,80.7978,80.6351,80.9592,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2014,80.8817,80.7197,81.0424,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2015,81.1018,80.9407,81.2617,,,,,
Both Sexes,White (includes Hispanic),All Ages,1 year,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2000,68.5882,68.3796,68.7957,2000-2004,0.2078,0.0166,0.399,Trend is Rising
Both Sexes,White (includes Hispanic),All Ages,3 years,2001,69.1948,68.989,69.3996,2004-2007,0.6426,0.4392,0.846,Trend is Rising
Both Sexes,White (includes Hispanic),All Ages,3 years,2002,69.6214,69.4166,69.8252,2007-2015,0.0177,-0.0636,0.099,Stable
Both Sexes,White (includes Hispanic),All Ages,3 years,2003,69.2381,69.0314,69.4438,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2004,69.7186,69.5144,69.9217,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2005,70.0512,69.8457,70.2556,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2006,70.8806,70.6808,71.0793,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2007,71.6271,71.431,71.8222,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2008,71.4573,71.2618,71.6518,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2009,71.8397,71.6456,72.0326,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2010,71.7937,71.5986,71.9877,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2011,72.1297,71.9357,72.3227,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2012,71.2583,71.0618,71.4538,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2013,71.0543,70.8559,71.2516,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2014,-,-,-,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2015,-,-,-,,,,,
Both Sexes,White (includes Hispanic),All Ages,3 years,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2000,64.7944,64.5668,65.021,2000-2004,0.2266,0.018,0.4352,Trend is Rising
Both Sexes,White (includes Hispanic),All Ages,5 years,2001,65.5971,65.3726,65.8206,2004-2007,0.7027,0.4806,0.9248,Trend is Rising
Both Sexes,White (includes Hispanic),All Ages,5 years,2002,65.9783,65.7549,66.2006,2007-2015,0.0194,-0.0697,0.1086,Stable
Both Sexes,White (includes Hispanic),All Ages,5 years,2003,65.5538,65.3287,65.7779,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2004,66.0721,65.8497,66.2934,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2005,66.4269,66.2031,66.6496,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2006,67.2989,67.0809,67.5159,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2007,68.0346,67.8202,68.248,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2008,67.7441,67.5305,67.9567,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2009,68.2402,68.0282,68.4512,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2010,67.943,67.7293,68.1556,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2011,68.2693,68.0559,68.4815,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2012,-,-,-,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2013,-,-,-,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2014,-,-,-,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2015,-,-,-,,,,,
Both Sexes,White (includes Hispanic),All Ages,5 years,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2000,89.6789,89.3762,89.9733,2000-2015,0.191,0.1676,0.2144,Trend is Rising
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2001,89.7732,89.4746,90.0638,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2002,89.8109,89.5113,90.1023,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2003,90.3273,90.0344,90.6119,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2004,90.8055,90.5219,91.0811,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2005,90.7321,90.4463,91.0097,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2006,91.2191,90.9415,91.4886,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2007,91.6279,91.3557,91.8918,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2008,91.7507,91.4823,92.0111,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2009,91.9764,91.7103,92.2343,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2010,92.0398,91.7698,92.3014,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2011,92.5805,92.319,92.8336,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2012,92.8192,92.5594,93.0703,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2013,92.8117,92.5469,93.0676,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2014,93.0495,92.7889,93.3011,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2015,93.228,92.9685,93.4782,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,1 year,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2000,80.8401,80.4475,81.2259,2000-2015,0.346,0.3041,0.388,Trend is Rising
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2001,81.3185,80.933,81.6971,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2002,81.6863,81.3018,82.0639,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2003,82.2595,81.8796,82.6324,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2004,82.946,82.5752,83.3097,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2005,83.0403,82.6687,83.4047,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2006,83.784,83.4206,84.1402,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2007,84.1403,83.7795,84.4938,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2008,84.3664,84.0102,84.7155,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2009,84.8938,84.5409,85.2393,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2010,84.7157,84.3542,85.0696,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2011,84.8799,84.5199,85.2324,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2012,85.4103,85.0512,85.7615,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2013,85.475,85.1074,85.8343,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2014,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2015,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,3 years,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2000,77.3269,76.906,77.7414,2000-2015,0.4084,0.3591,0.4576,Trend is Rising
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2001,77.9555,77.5423,78.3622,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2002,78.1466,77.7325,78.554,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2003,78.746,78.3361,79.1493,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2004,79.5911,79.1906,79.985,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2005,79.7959,79.3949,80.19,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2006,80.3957,80.0009,80.7837,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2007,80.6408,80.2471,81.0275,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2008,80.9578,80.5689,81.3399,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2009,81.6822,81.2972,82.0602,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2010,81.3205,80.9243,81.7093,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2011,81.3363,80.9385,81.7267,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2012,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2013,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2014,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2015,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,5 years,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2000,82.8174,82.533,83.0976,2000-2008,0.2592,0.2136,0.3048,Trend is Rising
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2001,83.4872,83.212,83.7583,2008-2015,-0.0963,-0.1511,-0.0416,Trend is Falling
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2002,83.7356,83.4663,84.001,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2003,83.3829,83.1101,83.6517,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2004,83.9538,83.6885,84.2152,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2005,84.1397,83.8754,84.4,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2006,84.6226,84.3703,84.8711,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2007,85.0642,84.8204,85.3044,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2008,85.2112,84.9695,85.4495,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2009,85.3562,85.1177,85.5911,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2010,85.3462,85.1074,85.5815,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2011,85.2328,84.9955,85.4667,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2012,84.9387,84.6965,85.1775,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2013,84.8688,84.6243,85.1098,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2014,84.8032,84.5595,85.0434,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2015,85.0039,84.7609,85.2433,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,1 year,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2000,72.8551,72.5122,73.1946,2000-2008,0.3923,0.3233,0.4613,Trend is Rising
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2001,73.7327,73.3989,74.063,2008-2015,-0.1466,-0.23,-0.0632,Trend is Falling
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2002,74.2623,73.9358,74.5855,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2003,73.9886,73.6597,74.3141,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2004,74.18,73.8568,74.5001,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2005,74.6486,74.3269,74.9669,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2006,75.3379,75.0295,75.6431,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2007,76.1126,75.814,76.408,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2008,75.9904,75.6926,76.285,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2009,76.2217,75.9278,76.5126,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2010,76.1404,75.8457,76.4321,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2011,75.8477,75.5545,76.1381,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2012,75.211,74.9111,75.5079,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2013,74.9251,74.6207,75.2266,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2014,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2015,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,3 years,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2000,68.8402,68.4738,69.2034,2000-2008,0.4392,0.362,0.5165,Trend is Rising
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2001,69.9352,69.5782,70.289,2008-2015,-0.1646,-0.2582,-0.071,Trend is Falling
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2002,70.4799,70.1301,70.8264,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2003,70.0542,69.702,70.4032,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2004,70.3585,70.0125,70.7014,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2005,70.6719,70.3268,71.0138,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2006,71.6739,71.3429,72.0019,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2007,72.4637,72.1423,72.782,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2008,72.3274,72.0071,72.6448,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2009,72.6032,72.2867,72.9168,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2010,72.362,72.044,72.6772,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2011,71.994,71.6768,72.3084,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2012,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2013,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2014,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2015,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,5 years,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2000,72.1706,71.9087,72.4305,2000-2004,-0.0525,-0.2283,0.1234,Stable
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2001,72.3323,72.0714,72.5913,2004-2007,0.4704,0.278,0.6628,Trend is Rising
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2002,72.4455,72.1832,72.7058,2007-2015,0.082,0.0067,0.1572,Trend is Rising
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2003,71.9005,71.6327,72.1663,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2004,72.3671,72.1012,72.631,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2005,72.3191,72.048,72.5881,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2006,72.9555,72.6912,73.2178,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2007,73.5415,73.2809,73.8001,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2008,73.6767,73.4165,73.9349,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2009,73.9988,73.7398,74.2558,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2010,74.0297,73.7698,74.2875,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2011,74.9597,74.7019,75.2154,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2012,73.9396,73.6793,74.1979,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2013,74.2502,73.9918,74.5065,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2014,74.3783,74.1206,74.634,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2015,74.763,74.5078,75.0162,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,1 year,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2000,62.282,61.9694,62.5928,2000-2004,-0.0661,-0.2875,0.1553,Stable
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2001,62.649,62.3378,62.9585,2004-2007,0.5949,0.3524,0.8374,Trend is Rising
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2002,62.9039,62.5913,63.2148,2007-2015,0.1043,0.0086,0.2001,Trend is Rising
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2003,61.9147,61.597,62.2306,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2004,62.3845,62.0685,62.6987,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2005,62.4436,62.1216,62.7638,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2006,63.4509,63.1363,63.7636,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2007,64.3001,63.9895,64.6089,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2008,63.8519,63.5414,64.1605,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2009,64.2785,63.9693,64.5857,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2010,64.4135,64.1037,64.7214,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2011,65.185,64.8755,65.4926,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2012,63.8306,63.5203,64.139,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2013,63.8975,63.588,64.2051,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2014,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2015,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,3 years,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2000,58.4707,58.1212,58.8184,2000-2004,-0.0704,-0.3059,0.1652,Stable
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2001,59.0394,58.6919,59.385,2004-2007,0.6341,0.376,0.8923,Trend is Rising
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2002,59.2676,58.9186,59.6148,2007-2015,0.1115,0.0092,0.2138,Trend is Rising
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2003,58.2838,57.9299,58.6358,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2004,58.6947,58.3428,59.0447,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2005,58.873,58.5146,59.2295,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2006,59.8051,59.4544,60.1539,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2007,60.6759,60.3291,61.0207,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2008,59.9359,59.5904,60.2796,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2009,60.5081,60.1641,60.8502,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2010,60.3072,59.9621,60.6503,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2011,61.2001,60.8541,61.5441,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2012,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2013,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2014,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2015,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,5 years,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2000,92.5383,91.3297,93.5844,2000-2015,0.1245,0.0717,0.1772,Trend is Rising
Both Sexes,White (includes Hispanic),Ages <15,1 year,2001,91.507,90.2559,92.604,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2002,90.9151,89.6102,92.0635,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2003,93.5363,92.3408,94.5508,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2004,93.2783,92.1198,94.2718,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2005,92.1564,90.9261,93.2262,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2006,93.2705,92.0896,94.2806,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2007,92.0531,90.8319,93.1178,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2008,93.2727,92.1238,94.2592,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2009,92.5376,91.3597,93.5606,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2010,93.4968,92.3815,94.4538,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2011,94.0071,92.9041,94.9433,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2012,93.6888,92.5348,94.6695,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2013,93.3287,92.1556,94.3318,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2014,93.2752,92.1117,94.2724,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2015,93.5175,92.3576,94.5066,,,,,
Both Sexes,White (includes Hispanic),Ages <15,1 year,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2000,83.6784,82.0279,85.1912,2000-2015,0.2362,0.1368,0.3356,Trend is Rising
Both Sexes,White (includes Hispanic),Ages <15,3 years,2001,83.6451,82.0237,85.1337,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2002,82.9129,81.241,84.4504,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2003,86.3198,84.7003,87.7805,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2004,85.655,84.0795,87.0868,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2005,85.714,84.1467,87.1384,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2006,86.2404,84.6603,87.6698,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2007,85.3573,83.7932,86.7826,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2008,87.7144,86.2423,89.0392,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2009,86.545,85.045,87.9054,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2010,86.8938,85.4028,88.2431,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2011,86.9285,85.3989,88.309,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2012,87.8389,86.3124,89.2059,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2013,86.2739,84.6638,87.7274,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2014,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2015,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages <15,3 years,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2000,80.9593,79.2119,82.5764,2000-2015,0.2754,0.1598,0.391,Trend is Rising
Both Sexes,White (includes Hispanic),Ages <15,5 years,2001,80.6109,78.8846,82.2124,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2002,80.1471,78.3804,81.7866,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2003,83.3865,81.6418,84.9811,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2004,83.5247,81.8618,85.0493,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2005,82.7336,81.0479,84.2842,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2006,83.5646,81.8709,85.1148,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2007,82.5594,80.8857,84.1012,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2008,84.6456,83.0337,86.1173,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2009,84.5902,83.0039,86.0412,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2010,84.7331,83.1423,86.1865,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2011,84.0764,82.4024,85.6054,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2012,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2013,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2014,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2015,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages <15,5 years,2016,-,-,-,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,1 year,2000,92.2323,91.7824,92.6586,2000-2006,0.236,0.1818,0.2901,Trend is Rising
