Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction
Both Sexes,Non-Hispanic White,Ages < 20,Observed Rates,2008,19.0175,18.3363,19.7176,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Observed Rates,2009,19.4123,18.7189,20.125,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Observed Rates,2010,19.3332,18.6358,20.0501,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Observed Rates,2011,20.0796,19.365,20.8139,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Observed Rates,2012,19.8893,19.1743,20.6242,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Observed Rates,2013,19.9611,19.2399,20.7024,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Observed Rates,2014,20.2905,19.5598,21.0416,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Observed Rates,2015,20.8631,20.1188,21.628,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Observed Rates,2016,19.6341,18.9093,20.3797,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2000,18.2809,17.6361,18.9432,2000-2016,0.8088,0.5862,1.032,Trend is Rising
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2001,19.0178,18.3583,19.6951,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2002,18.7365,18.0794,19.4114,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2003,17.9207,17.2762,18.5833,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2004,18.8073,18.1446,19.4881,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2005,19.0122,18.3349,19.7082,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2006,18.6702,18.0014,19.3576,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2007,19.5909,18.9024,20.2983,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2008,19.0533,18.3709,19.7548,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2009,19.4866,18.7905,20.202,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2010,19.4427,18.7414,20.1637,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2011,20.2289,19.509,20.9686,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2012,20.0772,19.3554,20.819,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2013,20.1865,19.4572,20.9362,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2014,20.5918,19.8502,21.354,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2015,21.2814,20.5222,22.0615,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,Delay-adjusted Rates,2016,20.2633,19.5152,21.0325,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2000,498.9207,497.41,500.4348,2000-2004,-0.9082,-1.7946,-0.0138,Trend is Falling
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2001,500.0019,498.4971,501.51,2004-2007,0.8354,-1.9619,3.7124,Stable
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2002,497.5251,496.0327,499.0208,2007-2016,-1.317,-1.565,-1.0683,Trend is Falling
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2003,484.4816,483.0172,485.9493,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2004,485.9515,484.491,487.4154,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2005,485.9105,484.4428,487.3815,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2006,491.5636,490.106,493.0246,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2007,495.5622,494.1073,497.0205,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2008,491.8383,490.3982,493.2817,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2009,487.3971,485.9723,488.8251,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2010,473.5091,472.1129,474.9086,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2011,472.5562,471.1695,473.9461,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2012,460.3943,459.0355,461.7561,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2013,455.7889,454.4476,457.1333,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2014,453.4818,452.153,454.8137,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2015,452.0162,450.6972,453.3383,,,,,
Both Sexes,White (includes Hispanic),All Ages,Observed Rates,2016,437.716,436.4253,439.0098,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2000,498.9207,497.41,500.4348,2000-2004,-0.8903,-1.8443,0.073,Stable
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2001,500.0019,498.4971,501.51,2004-2007,0.7274,-2.2772,3.8244,Stable
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2002,497.5251,496.0327,499.0208,2007-2016,-1.0188,-1.2866,-0.7503,Trend is Falling
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2003,484.4816,483.0172,485.9493,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2004,485.9515,484.491,487.4154,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2005,485.9105,484.4428,487.3815,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2006,491.5636,490.106,493.0246,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2007,495.5622,494.1073,497.0205,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2008,492.7428,491.3,494.1889,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2009,489.1926,487.7625,490.6259,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2010,476.1236,474.7197,477.5308,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2011,476.0372,474.6403,477.4373,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2012,464.6391,463.2678,466.0134,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2013,460.8381,459.4819,462.1973,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2014,460.3325,458.9837,461.6844,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2015,461.406,460.0597,462.7554,,,,,
Both Sexes,White (includes Hispanic),All Ages,Delay-adjusted Rates,2016,452.7259,451.3912,454.0637,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2000,98.8324,98.0388,99.6309,2000-2008,1.0557,0.7295,1.383,Trend is Rising
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2001,100.0882,99.2918,100.8893,2008-2016,-0.1902,-0.5171,0.1377,Stable
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2002,99.3972,98.6048,100.1945,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2003,99.9374,99.1428,100.7368,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2004,102.1225,101.3183,102.9316,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2005,103.9277,103.1071,104.7532,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2006,104.3386,103.5205,105.1617,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2007,105.2331,104.4072,106.064,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2008,107.7467,106.9064,108.5919,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2009,107.4801,106.6372,108.328,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2010,105.1261,104.288,105.9693,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2011,105.9016,105.0562,106.7521,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2012,106.03,105.1795,106.8857,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2013,104.8771,104.0268,105.7327,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2014,106.2623,105.4015,107.1283,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2015,107.082,106.2147,107.9545,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Observed Rates,2016,103.7938,102.9374,104.6554,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2000,98.8324,98.0388,99.6309,2000-2008,1.0476,0.7336,1.3625,Trend is Rising
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2001,100.0882,99.2918,100.8893,2008-2016,0.0842,-0.2312,0.4007,Stable
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2002,99.3972,98.6048,100.1945,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2003,99.9374,99.1428,100.7368,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2004,102.1225,101.3183,102.9316,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2005,103.9277,103.1071,104.7532,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2006,104.3386,103.5205,105.1617,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2007,105.2331,104.4072,106.064,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2008,107.9239,107.0823,108.7706,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2009,107.8363,106.9906,108.687,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2010,105.6478,104.8055,106.4952,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2011,106.6031,105.7521,107.4592,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2012,106.9103,106.0527,107.7731,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2013,105.9218,105.063,106.7859,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2014,107.6851,106.8128,108.5627,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2015,109.0321,108.149,109.9206,,,,,
Both Sexes,White (includes Hispanic),Ages < 50,Delay-adjusted Rates,2016,106.7414,105.8607,107.6275,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2000,907.2724,901.9991,912.5689,2000-2004,-1.5093,-2.8584,-0.1414,Trend is Falling
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2001,909.2472,904.0463,914.4706,2004-2007,0.7077,-3.3895,4.9787,Stable
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2002,904.0418,898.9542,909.151,2007-2016,-1.2804,-1.6358,-0.9238,Trend is Falling
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2003,867.548,862.6564,872.4606,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2004,866.2943,861.4841,871.1246,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2005,861.0071,856.2416,865.7926,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2006,876.8033,872.1051,881.5205,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2007,887.0829,882.4414,891.7429,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2008,874.2652,869.7124,878.836,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2009,868.1028,863.6281,872.595,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2010,837.7598,833.426,842.1105,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2011,838.2994,834.0144,842.601,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2012,813.0743,808.863,817.3022,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2013,804.9301,800.7565,809.1201,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2014,809.0988,804.9327,813.2812,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2015,806.2308,802.0842,810.3936,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Observed Rates,2016,787.2316,783.1351,791.3443,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2000,907.2724,901.9991,912.5689,2000-2004,-1.5509,-2.8467,-0.2377,Trend is Falling
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2001,909.2472,904.0463,914.4706,2004-2007,0.9516,-2.9971,5.061,Stable
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2002,904.0418,898.9542,909.151,2007-2013,-1.3868,-2.2201,-0.5464,Trend is Falling
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2003,867.548,862.6564,872.4606,2013-2016,0.09,-1.7895,2.0056,Stable
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2004,866.2943,861.4841,871.1246,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2005,861.0071,856.2416,865.7926,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2006,876.8033,872.1051,881.5205,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2007,887.0829,882.4414,891.7429,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2008,875.8036,871.2428,880.3825,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2009,871.1571,866.6666,875.6651,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2010,842.1803,837.8236,846.554,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2011,844.2005,839.8853,848.5323,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2012,820.2505,816.002,824.5156,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2013,813.4658,809.2479,817.7002,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2014,820.9166,816.6895,825.16,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2015,822.6309,818.3998,826.8784,,,,,
Both Sexes,White (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2016,812.3732,808.1456,816.6173,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2000,2305.1864,2296.08,2314.3199,2000-2004,-1.0379,-1.8389,-0.2304,Trend is Falling
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2001,2304.2076,2295.1115,2313.3308,2004-2007,0.6959,-1.8764,3.3356,Stable
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2002,2294.7431,2285.6733,2303.8398,2007-2016,-1.6721,-1.8986,-1.445,Trend is Falling
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2003,2231.7488,2222.8199,2240.7046,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2004,2232.3555,2223.4316,2241.3063,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2005,2227.9686,2218.987,2236.9775,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2006,2251.6018,2242.6649,2260.5654,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2007,2265.9208,2256.9934,2274.8746,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2008,2237.2734,2228.4764,2246.0964,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2009,2210.9711,2202.2829,2219.6848,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2010,2150.568,2142.0562,2159.105,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2011,2137.9475,2129.5227,2146.3971,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2012,2070.9141,2062.7431,2079.1093,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2013,2050.7399,2042.7224,2058.781,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2014,2019.6081,2011.7531,2027.4861,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2015,2006.7215,1998.9795,2014.486,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Observed Rates,2016,1934.945,1927.4273,1942.4847,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2000,2305.1864,2296.08,2314.3199,2000-2004,-1.0182,-1.8371,-0.1925,Trend is Falling
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2001,2304.2076,2295.1115,2313.3308,2004-2007,0.5754,-2.0501,3.2714,Stable
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2002,2294.7431,2285.6733,2303.8398,2007-2016,-1.3533,-1.5856,-1.1204,Trend is Falling
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2003,2231.7488,2222.8199,2240.7046,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2004,2232.3555,2223.4316,2241.3063,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2005,2227.9686,2218.987,2236.9775,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2006,2251.6018,2242.6649,2260.5654,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2007,2265.9208,2256.9934,2274.8746,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2008,2241.5896,2232.7756,2250.4296,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2009,2219.5142,2210.7925,2228.2616,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2010,2163.0224,2154.4614,2171.6089,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2011,2154.4716,2145.9817,2162.9865,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2012,2090.9453,2082.6952,2099.2198,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2013,2074.5808,2066.47,2082.7153,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2014,2051.6434,2043.6636,2059.6463,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2015,2050.3903,2042.4796,2058.3238,,,,,
Both Sexes,White (includes Hispanic),Ages 65+,Delay-adjusted Rates,2016,2006.9982,1999.2,2014.819,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2000,16.4241,15.826,17.0389,2000-2016,0.5566,0.2555,0.8587,Trend is Rising
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2001,16.932,16.3245,17.5562,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2002,16.4953,15.8953,17.1122,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2003,15.5961,15.0122,16.1969,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2004,16.5503,15.9478,17.1698,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2005,16.6417,16.03,17.2708,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2006,16.5924,15.9832,17.2189,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2007,17.4866,16.8594,18.1311,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2008,17.0692,16.449,17.7069,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2009,17.5601,16.9294,18.2083,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2010,17.6733,17.0394,18.3249,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2011,17.3804,16.7511,18.0273,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2012,16.7599,16.1406,17.3969,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2013,17.3953,16.7627,18.0457,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2014,17.8645,17.222,18.5249,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2015,18.4268,17.7725,19.0989,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Observed Rates,2016,17.1169,16.4846,17.7672,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2000,16.4241,15.826,17.0389,2000-2016,0.6902,0.3949,0.9864,Trend is Rising
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2001,16.932,16.3245,17.5562,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2002,16.4953,15.8953,17.1122,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2003,15.5961,15.0122,16.1969,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2004,16.5503,15.9478,17.1698,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2005,16.6417,16.03,17.2708,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2006,16.5924,15.9832,17.2189,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2007,17.4866,16.8594,18.1311,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2008,17.0972,16.4759,17.7359,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2009,17.619,16.9862,18.2693,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2010,17.7622,17.125,18.4169,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2011,17.4945,16.861,18.1456,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2012,16.8997,16.2752,17.542,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2013,17.5678,16.9289,18.2246,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2014,18.1052,17.454,18.7744,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2015,18.7575,18.0915,19.4417,,,,,
Both Sexes,White (includes Hispanic),Ages <15,Delay-adjusted Rates,2016,17.6021,16.9518,18.2707,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2000,68.9786,68.0417,69.9253,2000-2016,0.9207,0.7637,1.0778,Trend is Rising
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2001,70.2773,69.3266,71.2378,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2002,70.5479,69.5887,71.517,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2003,70.6992,69.7321,71.6763,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2004,72.3163,71.3312,73.3115,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2005,74.7719,73.756,75.7981,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2006,73.3882,72.386,74.4007,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2007,75.1633,74.1459,76.1911,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2008,77.7477,76.7092,78.7967,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2009,76.8623,75.8268,77.9081,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2010,76.087,75.0518,77.1326,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2011,77.1802,76.1341,78.2368,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2012,78.338,77.284,79.4025,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2013,77.25,76.2068,78.3036,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2014,79.4585,78.4045,80.523,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2015,80.7185,79.6602,81.7872,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Observed Rates,2016,79.2598,78.2166,80.3133,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2000,68.9786,68.0417,69.9253,2000-2016,1.0568,0.9188,1.195,Trend is Rising
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2001,70.2773,69.3266,71.2378,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2002,70.5479,69.5887,71.517,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2003,70.6992,69.7321,71.6763,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2004,72.3163,71.3312,73.3115,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2005,74.7719,73.756,75.7981,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2006,73.3882,72.386,74.4007,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2007,75.1633,74.1459,76.1911,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2008,77.8752,76.835,78.9259,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2009,77.1161,76.0772,78.1654,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2010,76.4621,75.4218,77.5129,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2011,77.6928,76.6398,78.7563,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2012,78.9853,77.9226,80.0586,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2013,78.0201,76.9666,79.0843,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2014,80.5199,79.4518,81.5985,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2015,82.1815,81.104,83.2696,,,,,
Both Sexes,White (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2016,81.4925,80.4198,82.5756,,,,,
Both Sexes,White (includes Hispanic),Ages 40-64,Observed Rates,2000,590.8099,587.8159,593.8155,2000-2004,-0.997,-2.1039,0.1224,Stable
Both Sexes,White (includes Hispanic),Ages 40-64,Observed Rates,2001,592.8987,589.9385,595.87,2004-2007,0.9535,-2.4327,4.4573,Stable
