Sex,Race/Ethnicity,Age,Stage at Diagnosis,Survival Time,Survival Rate (%),Survival Rate Standard Error,Survival Rate Lower Confidence Interval,Survival Rate Upper Confidence Interval
Both Sexes,Non-Hispanic White,All Ages,All Stages,7 years,64.6846,0.0343,64.6173,64.7519
Both Sexes,Non-Hispanic White,All Ages,All Stages,8 years,63.7662,0.0363,63.695,63.8373
Both Sexes,Non-Hispanic White,All Ages,All Stages,9 years,62.9499,0.0385,62.8743,63.0253
Both Sexes,Non-Hispanic White,All Ages,All Stages,10 years,62.1895,0.041,62.109,62.2699
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,Diagnosis,100,-,-,-
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,1 year,91.9658,0.0381,91.8908,92.0403
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,2 years,87.37,0.0471,87.2773,87.462
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,3 years,84.6382,0.0519,84.5363,84.7396
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,4 years,82.7617,0.0551,82.6533,82.8694
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,5 years,81.3306,0.0577,81.2171,81.4435
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,6 years,80.1711,0.0601,80.0531,80.2886
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,7 years,79.1938,0.0623,79.0715,79.3155
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,8 years,78.3175,0.0645,78.1907,78.4435
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,9 years,77.5284,0.0668,77.3972,77.659
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,10 years,76.8795,0.0691,76.7437,77.0147
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,Diagnosis,100,-,-,-
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,1 year,84.7978,0.0338,84.7315,84.8639
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,2 years,78.7051,0.0393,78.628,78.7819
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,3 years,75.4282,0.0422,75.3453,75.5108
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,4 years,73.3164,0.0444,73.2292,73.4033
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,5 years,71.7273,0.0464,71.6362,71.8182
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,6 years,70.4811,0.0484,70.3861,70.5757
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,7 years,69.4714,0.0504,69.3725,69.57
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,8 years,68.5803,0.0526,68.4771,68.6833
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,9 years,67.7981,0.0551,67.69,67.9059
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,10 years,67.0735,0.0579,66.9598,67.1869
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,Diagnosis,100,-,-,-
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,1 year,73.3686,0.0347,73.3005,73.4365
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,2 years,66.9539,0.039,66.8774,67.0303
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,3 years,63.6086,0.0422,63.5258,63.6913
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,4 years,61.4713,0.0453,61.3825,61.5601
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,5 years,59.8705,0.0486,59.7753,59.9656
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,6 years,58.561,0.0521,58.4588,58.6631
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,7 years,57.4175,0.0561,57.3075,57.5273
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,8 years,56.4213,0.0606,56.3025,56.54
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,9 years,55.522,0.0658,55.3929,55.651
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,10 years,54.6306,0.072,54.4893,54.7716
Both Sexes,Non-Hispanic White,Ages <15,All Stages,Diagnosis,100,-,-,-
Both Sexes,Non-Hispanic White,Ages <15,All Stages,1 year,93.3468,0.17,93.0055,93.672
Both Sexes,Non-Hispanic White,Ages <15,All Stages,2 years,89.0414,0.2148,88.6128,89.4548
Both Sexes,Non-Hispanic White,Ages <15,All Stages,3 years,86.976,0.2336,86.5106,87.4266
Both Sexes,Non-Hispanic White,Ages <15,All Stages,4 years,85.7184,0.2451,85.2305,86.1915
Both Sexes,Non-Hispanic White,Ages <15,All Stages,5 years,84.5603,0.2561,84.0509,85.0548
Both Sexes,Non-Hispanic White,Ages <15,All Stages,6 years,83.7602,0.2641,83.2351,84.2705
Both Sexes,Non-Hispanic White,Ages <15,All Stages,7 years,83.1803,0.2706,82.6425,83.7031
Both Sexes,Non-Hispanic White,Ages <15,All Stages,8 years,82.5697,0.278,82.0172,83.107
Both Sexes,Non-Hispanic White,Ages <15,All Stages,9 years,82.2906,0.2821,81.7299,82.836
Both Sexes,Non-Hispanic White,Ages <15,All Stages,10 years,82.0289,0.2866,81.4593,82.5829
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,Diagnosis,100,-,-,-
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,1 year,94.9086,0.0528,94.8041,95.0111
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,2 years,91.2787,0.0685,91.1433,91.412
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,3 years,88.9786,0.0772,88.8264,89.1289
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,4 years,87.3226,0.0832,87.1585,87.4848
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,5 years,86.1058,0.0878,85.9326,86.2769
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,6 years,85.0829,0.0919,84.9017,85.262
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,7 years,84.2589,0.0955,84.0706,84.4451
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,8 years,83.5488,0.099,83.3537,83.7418
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,9 years,82.8793,0.1027,82.677,83.0794
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,10 years,82.3252,0.1062,82.1158,82.5323
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,Diagnosis,100,-,-,-
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,1 year,85.9617,0.0289,85.9049,86.0184
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,2 years,80.0737,0.0339,80.0072,80.14
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,3 years,76.8562,0.0365,76.7846,76.9276
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,4 years,74.7625,0.0384,74.6871,74.8377
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,5 years,73.1806,0.0401,73.1019,73.2592
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,6 years,71.9339,0.0418,71.852,72.0156
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,7 years,70.9086,0.0434,70.8234,70.9936
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,8 years,69.9981,0.0452,69.9093,70.0866
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,9 years,69.1931,0.0472,69.1004,69.2855
Both Sexes,Non-Hispanic White,Ages 40-64,All Stages,10 years,68.4703,0.0495,68.3732,68.5672
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,Diagnosis,100,-,-,-
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,1 year,79.7253,0.0434,79.64,79.8102
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,2 years,73.5483,0.0493,73.4514,73.6448
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,3 years,70.2665,0.0532,70.1621,70.3707
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,4 years,68.1446,0.0567,68.0335,68.2555
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,5 years,66.5761,0.0601,66.4582,66.6938
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,6 years,65.2837,0.0638,65.1584,65.4086
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,7 years,64.1756,0.068,64.0422,64.3087
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,8 years,63.1668,0.0727,63.024,63.3091
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,9 years,62.3068,0.0783,62.1532,62.4599
Both Sexes,Non-Hispanic White,Ages 65-74,All Stages,10 years,61.4654,0.0848,61.2989,61.6315
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,Diagnosis,100,-,-,-
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,1 year,66.9671,0.0534,66.8624,67.0716
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,2 years,60.2675,0.0598,60.1503,60.3845
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,3 years,56.8204,0.0653,56.6924,56.9482
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,4 years,54.6347,0.071,54.4954,54.7737
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,5 years,52.9614,0.0773,52.8098,53.1127
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,6 years,51.5934,0.0844,51.4278,51.7587
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,7 years,50.3599,0.0926,50.1782,50.5413
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,8 years,49.3367,0.1023,49.136,49.5371
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,9 years,48.3256,0.1138,48.1023,48.5486
Both Sexes,Non-Hispanic White,Ages 75+,All Stages,10 years,47.286,0.1279,47.0351,47.5364
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,Diagnosis,100,-,-,-
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,1 year,94.0694,0.1303,93.8085,94.3196
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,2 years,89.7823,0.1686,89.4468,90.1077
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,3 years,87.574,0.1855,87.2054,87.9328
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,4 years,86.1949,0.196,85.8058,86.5743
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,5 years,85.1043,0.2046,84.6982,85.5005
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,6 years,84.3486,0.2111,83.9299,84.7573
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,7 years,83.7509,0.2167,83.3213,84.1706
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,8 years,83.2408,0.222,82.8007,83.6708
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,9 years,82.8902,0.2263,82.4415,83.3286
Both Sexes,Non-Hispanic White,Ages < 20,All Stages,10 years,82.5978,0.2305,82.1407,83.0444
Both Sexes,White (includes Hispanic),All Ages,All Stages,Diagnosis,100,-,-,-
Both Sexes,White (includes Hispanic),All Ages,All Stages,1 year,79.861,0.021,79.8198,79.9021
Both Sexes,White (includes Hispanic),All Ages,All Stages,2 years,73.7603,0.0239,73.7134,73.807
Both Sexes,White (includes Hispanic),All Ages,All Stages,3 years,70.4785,0.0257,70.4281,70.5289
Both Sexes,White (includes Hispanic),All Ages,All Stages,4 years,68.3501,0.0273,68.2965,68.4035
Both Sexes,White (includes Hispanic),All Ages,All Stages,5 years,66.7513,0.0288,66.6948,66.8077
Both Sexes,White (includes Hispanic),All Ages,All Stages,6 years,65.4659,0.0304,65.4064,65.5254
Both Sexes,White (includes Hispanic),All Ages,All Stages,7 years,64.381,0.032,64.3182,64.4438
Both Sexes,White (includes Hispanic),All Ages,All Stages,8 years,63.4318,0.0339,63.3654,63.4982
Both Sexes,White (includes Hispanic),All Ages,All Stages,9 years,62.5866,0.0359,62.5162,62.657
Both Sexes,White (includes Hispanic),All Ages,All Stages,10 years,61.7955,0.0382,61.7205,61.8705
Both Sexes,White (includes Hispanic),Ages < 50,All Stages,Diagnosis,100,-,-,-
Both Sexes,White (includes Hispanic),Ages < 50,All Stages,1 year,91.4893,0.0349,91.4206,91.5574
Both Sexes,White (includes Hispanic),Ages < 50,All Stages,2 years,86.6482,0.043,86.5636,86.7323
Both Sexes,White (includes Hispanic),Ages < 50,All Stages,3 years,83.7743,0.0473,83.6812,83.8668
Both Sexes,White (includes Hispanic),Ages < 50,All Stages,4 years,81.8188,0.0503,81.72,81.9171
Both Sexes,White (includes Hispanic),Ages < 50,All Stages,5 years,80.3423,0.0526,80.2389,80.4453
Both Sexes,White (includes Hispanic),Ages < 50,All Stages,6 years,79.1409,0.0547,79.0334,79.248
Both Sexes,White (includes Hispanic),Ages < 50,All Stages,7 years,78.1473,0.0567,78.0359,78.2582
Both Sexes,White (includes Hispanic),Ages < 50,All Stages,8 years,77.2428,0.0587,77.1275,77.3577
Both Sexes,White (includes Hispanic),Ages < 50,All Stages,9 years,76.4358,0.0608,76.3164,76.5548
Both Sexes,White (includes Hispanic),Ages < 50,All Stages,10 years,75.763,0.063,75.6394,75.8862
Both Sexes,White (includes Hispanic),Ages 50-64,All Stages,Diagnosis,100,-,-,-
Both Sexes,White (includes Hispanic),Ages 50-64,All Stages,1 year,84.5529,0.032,84.4901,84.6154
Both Sexes,White (includes Hispanic),Ages 50-64,All Stages,2 years,78.3742,0.0371,78.3014,78.4469
Both Sexes,White (includes Hispanic),Ages 50-64,All Stages,3 years,75.0345,0.0399,74.9562,75.1126
Both Sexes,White (includes Hispanic),Ages 50-64,All Stages,4 years,72.8572,0.042,72.7749,72.9394
Both Sexes,White (includes Hispanic),Ages 50-64,All Stages,5 years,71.213,0.0439,71.1269,71.2989
Both Sexes,White (includes Hispanic),Ages 50-64,All Stages,6 years,69.9278,0.0457,69.8381,70.0173
Both Sexes,White (includes Hispanic),Ages 50-64,All Stages,7 years,68.8806,0.0476,68.7872,68.9738
Both Sexes,White (includes Hispanic),Ages 50-64,All Stages,8 years,67.9578,0.0497,67.8603,68.0551
Both Sexes,White (includes Hispanic),Ages 50-64,All Stages,9 years,67.156,0.052,67.054,67.2578
Both Sexes,White (includes Hispanic),Ages 50-64,All Stages,10 years,66.4012,0.0547,66.2938,66.5083
Both Sexes,White (includes Hispanic),Ages 65+,All Stages,Diagnosis,100,-,-,-
Both Sexes,White (includes Hispanic),Ages 65+,All Stages,1 year,73.1323,0.0331,73.0673,73.1972
Both Sexes,White (includes Hispanic),Ages 65+,All Stages,2 years,66.6502,0.0371,66.5774,66.7229
Both Sexes,White (includes Hispanic),Ages 65+,All Stages,3 years,63.2448,0.0401,63.1661,63.3235
Both Sexes,White (includes Hispanic),Ages 65+,All Stages,4 years,61.0634,0.043,60.979,61.1476
Both Sexes,White (includes Hispanic),Ages 65+,All Stages,5 years,59.4243,0.046,59.334,59.5145
Both Sexes,White (includes Hispanic),Ages 65+,All Stages,6 years,58.0747,0.0493,57.978,58.1714
Both Sexes,White (includes Hispanic),Ages 65+,All Stages,7 years,56.8872,0.053,56.7832,56.9911
Both Sexes,White (includes Hispanic),Ages 65+,All Stages,8 years,55.8594,0.0573,55.7471,55.9716
Both Sexes,White (includes Hispanic),Ages 65+,All Stages,9 years,54.9181,0.0621,54.7962,55.0398
Both Sexes,White (includes Hispanic),Ages 65+,All Stages,10 years,53.9889,0.0679,53.8557,54.1219
Both Sexes,White (includes Hispanic),Ages <15,All Stages,Diagnosis,100,-,-,-
Both Sexes,White (includes Hispanic),Ages <15,All Stages,1 year,92.8839,0.1405,92.6034,93.1541
Both Sexes,White (includes Hispanic),Ages <15,All Stages,2 years,88.2061,0.1779,87.8525,88.55
Both Sexes,White (includes Hispanic),Ages <15,All Stages,3 years,85.884,0.1941,85.4988,86.2598
Both Sexes,White (includes Hispanic),Ages <15,All Stages,4 years,84.3288,0.2049,83.9225,84.7257
Both Sexes,White (includes Hispanic),Ages <15,All Stages,5 years,83.1855,0.2131,82.7633,83.5985
Both Sexes,White (includes Hispanic),Ages <15,All Stages,6 years,82.3844,0.2193,81.9498,82.8095
Both Sexes,White (includes Hispanic),Ages <15,All Stages,7 years,81.8202,0.2242,81.3762,82.2549
Both Sexes,White (includes Hispanic),Ages <15,All Stages,8 years,81.2675,0.2295,80.8129,81.7126
Both Sexes,White (includes Hispanic),Ages <15,All Stages,9 years,80.9257,0.2335,80.4632,81.3785
Both Sexes,White (includes Hispanic),Ages <15,All Stages,10 years,80.5603,0.2383,80.0884,81.0224
Both Sexes,White (includes Hispanic),Ages 15-39,All Stages,Diagnosis,100,-,-,-
Both Sexes,White (includes Hispanic),Ages 15-39,All Stages,1 year,94.0285,0.0495,93.9307,94.1249
Both Sexes,White (includes Hispanic),Ages 15-39,All Stages,2 years,89.9628,0.0637,89.8372,90.0868
Both Sexes,White (includes Hispanic),Ages 15-39,All Stages,3 years,87.4347,0.0713,87.2942,87.5737
Both Sexes,White (includes Hispanic),Ages 15-39,All Stages,4 years,85.6897,0.0765,85.539,85.8389
Both Sexes,White (includes Hispanic),Ages 15-39,All Stages,5 years,84.4099,0.0805,84.2515,84.5669
Both Sexes,White (includes Hispanic),Ages 15-39,All Stages,6 years,83.337,0.084,83.1716,83.501
Both Sexes,White (includes Hispanic),Ages 15-39,All Stages,7 years,82.4737,0.0872,82.3021,82.6439
Both Sexes,White (includes Hispanic),Ages 15-39,All Stages,8 years,81.7108,0.0903,81.533,81.8871
Both Sexes,White (includes Hispanic),Ages 15-39,All Stages,9 years,81.0145,0.0936,80.8303,81.1971
Both Sexes,White (includes Hispanic),Ages 15-39,All Stages,10 years,80.4277,0.0968,80.2372,80.6167
Both Sexes,White (includes Hispanic),Ages 40-64,All Stages,Diagnosis,100,-,-,-
Both Sexes,White (includes Hispanic),Ages 40-64,All Stages,1 year,85.7383,0.0272,85.6849,85.7915
Both Sexes,White (includes Hispanic),Ages 40-64,All Stages,2 years,79.7542,0.0318,79.6918,79.8165
Both Sexes,White (includes Hispanic),Ages 40-64,All Stages,3 years,76.4645,0.0343,76.3972,76.5315
Both Sexes,White (includes Hispanic),Ages 40-64,All Stages,4 years,74.3034,0.0361,74.2326,74.374
Both Sexes,White (includes Hispanic),Ages 40-64,All Stages,5 years,72.6664,0.0377,72.5925,72.7402
Both Sexes,White (includes Hispanic),Ages 40-64,All Stages,6 years,71.377,0.0392,71.3001,71.4538
Both Sexes,White (includes Hispanic),Ages 40-64,All Stages,7 years,70.3177,0.0408,70.2377,70.3975
Both Sexes,White (includes Hispanic),Ages 40-64,All Stages,8 years,69.3742,0.0425,69.2908,69.4573
Both Sexes,White (includes Hispanic),Ages 40-64,All Stages,9 years,68.5476,0.0443,68.4606,68.6344
Both Sexes,White (includes Hispanic),Ages 40-64,All Stages,10 years,67.7962,0.0465,67.7051,67.8872
Both Sexes,White (includes Hispanic),Ages 65-74,All Stages,Diagnosis,100,-,-,-
Both Sexes,White (includes Hispanic),Ages 65-74,All Stages,1 year,79.505,0.0413,79.4239,79.5858
Both Sexes,White (includes Hispanic),Ages 65-74,All Stages,2 years,73.276,0.0469,73.1839,73.3678
Both Sexes,White (includes Hispanic),Ages 65-74,All Stages,3 years,69.9384,0.0506,69.8392,70.0374
Both Sexes,White (includes Hispanic),Ages 65-74,All Stages,4 years,67.7817,0.0538,67.6762,67.8869
Both Sexes,White (includes Hispanic),Ages 65-74,All Stages,5 years,66.1851,0.057,66.0732,66.2966
Both Sexes,White (includes Hispanic),Ages 65-74,All Stages,6 years,64.8531,0.0605,64.7345,64.9715
Both Sexes,White (includes Hispanic),Ages 65-74,All Stages,7 years,63.709,0.0644,63.5827,63.8349
Both Sexes,White (includes Hispanic),Ages 65-74,All Stages,8 years,62.6718,0.0688,62.5368,62.8066
Both Sexes,White (includes Hispanic),Ages 65-74,All Stages,9 years,61.7811,0.074,61.6359,61.9259
Both Sexes,White (includes Hispanic),Ages 65-74,All Stages,10 years,60.8959,0.0801,60.7386,61.0527
Both Sexes,White (includes Hispanic),Ages 75+,All Stages,Diagnosis,100,-,-,-
Both Sexes,White (includes Hispanic),Ages 75+,All Stages,1 year,66.5912,0.0511,66.4909,66.6913
Both Sexes,White (includes Hispanic),Ages 75+,All Stages,2 years,59.8034,0.0571,59.6913,59.9152
Both Sexes,White (includes Hispanic),Ages 75+,All Stages,3 years,56.29,0.0622,56.1679,56.4119
Both Sexes,White (includes Hispanic),Ages 75+,All Stages,4 years,54.0482,0.0676,53.9157,54.1805
Both Sexes,White (includes Hispanic),Ages 75+,All Stages,5 years,52.3226,0.0734,52.1786,52.4664
Both Sexes,White (includes Hispanic),Ages 75+,All Stages,6 years,50.9122,0.0801,50.7552,51.069
Both Sexes,White (includes Hispanic),Ages 75+,All Stages,7 years,49.6218,0.0877,49.4498,49.7936
Both Sexes,White (includes Hispanic),Ages 75+,All Stages,8 years,48.5606,0.0967,48.3709,48.7501
Both Sexes,White (includes Hispanic),Ages 75+,All Stages,9 years,47.4867,0.1075,47.2759,47.6973
Both Sexes,White (includes Hispanic),Ages 75+,All Stages,10 years,46.415,0.1206,46.1785,46.6512
Both Sexes,White (includes Hispanic),Ages < 20,All Stages,Diagnosis,100,-,-,-
Both Sexes,White (includes Hispanic),Ages < 20,All Stages,1 year,93.3763,0.1116,93.1542,93.5915
Both Sexes,White (includes Hispanic),Ages < 20,All Stages,2 years,88.6923,0.1435,88.4078,88.9703
Both Sexes,White (includes Hispanic),Ages < 20,All Stages,3 years,86.2135,0.158,85.9006,86.52
Both Sexes,White (includes Hispanic),Ages < 20,All Stages,4 years,84.582,0.1674,84.2507,84.9071
Both Sexes,White (includes Hispanic),Ages < 20,All Stages,5 years,83.4381,0.1743,83.0932,83.7766
Both Sexes,White (includes Hispanic),Ages < 20,All Stages,6 years,82.6624,0.1794,82.3076,83.0109
Both Sexes,White (includes Hispanic),Ages < 20,All Stages,7 years,82.0646,0.1838,81.7012,82.4216
Both Sexes,White (includes Hispanic),Ages < 20,All Stages,8 years,81.5503,0.188,81.1785,81.9156
Both Sexes,White (includes Hispanic),Ages < 20,All Stages,9 years,81.1538,0.1919,80.7744,81.5265
Both Sexes,White (includes Hispanic),Ages < 20,All Stages,10 years,80.7878,0.196,80.4002,81.1686
Female,All Races (includes Hispanic),All Ages,All Stages,Diagnosis,100,-,-,-
Female,All Races (includes Hispanic),All Ages,All Stages,1 year,80.5135,0.0266,80.4614,80.5656
Female,All Races (includes Hispanic),All Ages,All Stages,2 years,74.2751,0.0303,74.2157,74.3344
Female,All Races (includes Hispanic),All Ages,All Stages,3 years,70.6369,0.0326,70.573,70.7007
Female,All Races (includes Hispanic),All Ages,All Stages,4 years,68.1933,0.0345,68.1256,68.2609
Female,All Races (includes Hispanic),All Ages,All Stages,5 years,66.321,0.0363,66.2498,66.3921
Female,All Races (includes Hispanic),All Ages,All Stages,6 years,64.8399,0.0381,64.7652,64.9145
Female,All Races (includes Hispanic),All Ages,All Stages,7 years,63.6028,0.04,63.5244,63.6811
Female,All Races (includes Hispanic),All Ages,All Stages,8 years,62.5239,0.042,62.4415,62.6062
Female,All Races (includes Hispanic),All Ages,All Stages,9 years,61.5575,0.0442,61.4707,61.6442
Female,All Races (includes Hispanic),All Ages,All Stages,10 years,60.6853,0.0468,60.5936,60.7769
Female,All Races (includes Hispanic),Ages < 50,All Stages,Diagnosis,100,-,-,-
Female,All Races (includes Hispanic),Ages < 50,All Stages,1 year,93.5013,0.0349,93.4326,93.5694
Female,All Races (includes Hispanic),Ages < 50,All Stages,2 years,89.1187,0.0447,89.0308,89.2059
Female,All Races (includes Hispanic),Ages < 50,All Stages,3 years,86.2617,0.0502,86.163,86.3598
Female,All Races (includes Hispanic),Ages < 50,All Stages,4 years,84.2111,0.0541,84.1048,84.3168
Female,All Races (includes Hispanic),Ages < 50,All Stages,5 years,82.6223,0.0572,82.5099,82.7341
Female,All Races (includes Hispanic),Ages < 50,All Stages,6 years,81.3396,0.0599,81.2219,81.4567
Female,All Races (includes Hispanic),Ages < 50,All Stages,7 years,80.2584,0.0624,80.1357,80.3804
Female,All Races (includes Hispanic),Ages < 50,All Stages,8 years,79.3166,0.0649,79.189,79.4435
Female,All Races (includes Hispanic),Ages < 50,All Stages,9 years,78.4501,0.0675,78.3174,78.5822
Female,All Races (includes Hispanic),Ages < 50,All Stages,10 years,77.7168,0.0702,77.5788,77.854
Female,All Races (includes Hispanic),Ages 50-64,All Stages,Diagnosis,100,-,-,-
Female,All Races (includes Hispanic),Ages 50-64,All Stages,1 year,86.5471,0.0395,86.4695,86.6242
Female,All Races (includes Hispanic),Ages 50-64,All Stages,2 years,80.3956,0.0468,80.3037,80.4871
Female,All Races (includes Hispanic),Ages 50-64,All Stages,3 years,76.6814,0.0509,76.5814,76.781
Female,All Races (includes Hispanic),Ages 50-64,All Stages,4 years,74.1339,0.054,74.0279,74.2395
Female,All Races (includes Hispanic),Ages 50-64,All Stages,5 years,72.1666,0.0567,72.0554,72.2775
Female,All Races (includes Hispanic),Ages 50-64,All Stages,6 years,70.655,0.0591,70.5389,70.7707
Female,All Races (includes Hispanic),Ages 50-64,All Stages,7 years,69.4159,0.0616,69.2949,69.5365
Female,All Races (includes Hispanic),Ages 50-64,All Stages,8 years,68.3514,0.0643,68.2253,68.4772
Female,All Races (includes Hispanic),Ages 50-64,All Stages,9 years,67.3907,0.0672,67.2588,67.5222
Female,All Races (includes Hispanic),Ages 50-64,All Stages,10 years,66.5365,0.0705,66.3981,66.6745
Female,All Races (includes Hispanic),Ages 65+,All Stages,Diagnosis,100,-,-,-
Female,All Races (includes Hispanic),Ages 65+,All Stages,1 year,70.5256,0.0453,70.4366,70.6143
Female,All Races (includes Hispanic),Ages 65+,All Stages,2 years,63.3338,0.0502,63.2353,63.432
Female,All Races (includes Hispanic),Ages 65+,All Stages,3 years,59.3345,0.0537,59.2291,59.4397
Female,All Races (includes Hispanic),Ages 65+,All Stages,4 years,56.726,0.0571,56.614,56.8378
Female,All Races (includes Hispanic),Ages 65+,All Stages,5 years,54.7274,0.0606,54.6084,54.8462
Female,All Races (includes Hispanic),Ages 65+,All Stages,6 years,53.1069,0.0645,52.9804,53.2333
Female,All Races (includes Hispanic),Ages 65+,All Stages,7 years,51.7222,0.0689,51.5871,51.8571
Female,All Races (includes Hispanic),Ages 65+,All Stages,8 years,50.4821,0.0738,50.3372,50.6267
Female,All Races (includes Hispanic),Ages 65+,All Stages,9 years,49.3758,0.0796,49.2197,49.5317
Female,All Races (includes Hispanic),Ages 65+,All Stages,10 years,48.3141,0.0863,48.1448,48.4833
Female,All Races (includes Hispanic),Ages <15,All Stages,Diagnosis,100,-,-,-
Female,All Races (includes Hispanic),Ages <15,All Stages,1 year,92.5984,0.1865,92.2241,92.9555
Female,All Races (includes Hispanic),Ages <15,All Stages,2 years,87.6004,0.2373,87.1272,88.0575
Female,All Races (includes Hispanic),Ages <15,All Stages,3 years,85.2284,0.2582,84.7144,85.7267
Female,All Races (includes Hispanic),Ages <15,All Stages,4 years,83.793,0.2709,83.2542,84.3161
Female,All Races (includes Hispanic),Ages <15,All Stages,5 years,82.6586,0.2814,82.0992,83.2024
Female,All Races (includes Hispanic),Ages <15,All Stages,6 years,81.8862,0.2892,81.3115,82.4453
Female,All Races (includes Hispanic),Ages <15,All Stages,7 years,81.3596,0.2951,80.7732,81.9302
Female,All Races (includes Hispanic),Ages <15,All Stages,8 years,80.8639,0.3014,80.2651,81.4467
Female,All Races (includes Hispanic),Ages <15,All Stages,9 years,80.5031,0.3067,79.8938,81.0961
Female,All Races (includes Hispanic),Ages <15,All Stages,10 years,80.0555,0.3141,79.4315,80.663
Female,All Races (includes Hispanic),Ages 15-39,All Stages,Diagnosis,100,-,-,-
Female,All Races (includes Hispanic),Ages 15-39,All Stages,1 year,95.1555,0.0511,95.0543,95.2548
