Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction
Both Sexes,Hispanic (any race),Ages <15,2003,2.8023,2.5064,3.1232,,,,,
Both Sexes,Hispanic (any race),Ages <15,2004,2.4957,2.2203,2.7954,,,,,
Both Sexes,Hispanic (any race),Ages <15,2005,2.3439,2.0817,2.6296,,,,,
Both Sexes,Hispanic (any race),Ages <15,2006,2.2,1.9505,2.4721,,,,,
Both Sexes,Hispanic (any race),Ages <15,2007,2.3965,2.1382,2.6768,,,,,
Both Sexes,Hispanic (any race),Ages <15,2008,2.2253,1.9827,2.4891,,,,,
Both Sexes,Hispanic (any race),Ages <15,2009,2.3474,2.1009,2.6147,,,,,
Both Sexes,Hispanic (any race),Ages <15,2010,2.1127,1.8809,2.3649,,,,,
Both Sexes,Hispanic (any race),Ages <15,2011,2.1175,1.8882,2.3669,,,,,
Both Sexes,Hispanic (any race),Ages <15,2012,2.2333,1.9991,2.4873,,,,,
Both Sexes,Hispanic (any race),Ages <15,2013,2.0787,1.8538,2.3233,,,,,
Both Sexes,Hispanic (any race),Ages <15,2014,2.0524,1.8304,2.2939,,,,,
Both Sexes,Hispanic (any race),Ages <15,2015,1.9594,1.7434,2.1947,,,,,
Both Sexes,Hispanic (any race),Ages <15,2016,2.1634,1.9378,2.408,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2000,8.5411,8.0711,9.0307,2000-2004,-2.4941,-4.1799,-0.7787,Trend is Falling
Both Sexes,Hispanic (any race),Ages 15-39,2001,8.6819,8.2161,9.1666,2004-2007,1.6219,-3.631,7.161,Stable
Both Sexes,Hispanic (any race),Ages 15-39,2002,8.1843,7.741,8.6458,2007-2010,-2.5217,-7.3175,2.5224,Stable
Both Sexes,Hispanic (any race),Ages 15-39,2003,8.0552,7.6217,8.5064,2010-2016,1.1383,0.3132,1.9703,Trend is Rising
Both Sexes,Hispanic (any race),Ages 15-39,2004,8.0185,7.5915,8.4627,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2005,7.7216,7.3106,8.1493,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2006,8.0247,7.6119,8.4537,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2007,8.2994,7.8855,8.729,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2008,8.1118,7.7094,8.5294,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2009,7.8312,7.4399,8.2374,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2010,7.553,7.1741,7.9464,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2011,7.7402,7.3577,8.1371,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2012,7.7616,7.383,8.1543,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2013,8.0313,7.6477,8.4288,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2014,7.9218,7.5424,8.315,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2015,8.0235,7.6454,8.415,,,,,
Both Sexes,Hispanic (any race),Ages 15-39,2016,8.1782,7.7998,8.5699,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2000,108.1712,105.6583,110.728,2000-2016,-1.3457,-1.4944,-1.1968,Trend is Falling
Both Sexes,Hispanic (any race),Ages 40-64,2001,111.7203,109.235,114.2471,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2002,107.5326,105.1645,109.9398,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2003,107.138,104.8433,109.4696,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2004,102.8781,100.6904,105.1007,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2005,102.7815,100.6634,104.9323,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2006,99.4435,97.4216,101.4962,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2007,98.3931,96.444,100.3711,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2008,97.7444,95.8559,99.6604,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2009,95.8888,94.0702,97.7335,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2010,94.5648,92.8109,96.3432,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2011,92.6794,90.9855,94.3967,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2012,94.9157,93.239,96.6149,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2013,92.1796,90.5624,93.8184,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2014,90.7847,89.2149,92.3751,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2015,90.1455,88.6161,91.6947,,,,,
Both Sexes,Hispanic (any race),Ages 40-64,2016,88.7217,87.2357,90.2267,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2000,518.6263,505.0431,532.4812,2000-2016,-1.4962,-1.6134,-1.3788,Trend is Falling
Both Sexes,Hispanic (any race),Ages 65-74,2001,513.4453,500.1956,526.9561,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2002,505.5088,492.61,518.659,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2003,493.0544,480.5402,505.8109,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2004,480.9875,468.8383,493.3707,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2005,491.3835,479.3263,503.6661,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2006,471.8949,460.3095,483.6971,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2007,459.1272,447.9543,470.5074,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2008,451.7112,440.8921,462.7279,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2009,445.9306,435.449,456.5997,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2010,447.624,437.3494,458.0779,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2011,437.0004,427.1078,447.0634,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2012,434.0924,424.4962,443.8495,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2013,430.5154,421.2342,439.9483,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2014,422.5291,413.6017,431.5995,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2015,416.0332,407.4401,424.7607,,,,,
Both Sexes,Hispanic (any race),Ages 65-74,2016,401.6106,393.437,409.9104,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2000,1055.8144,1030.9493,1081.1284,2000-2016,-1.1474,-1.2546,-1.0401,Trend is Falling
Both Sexes,Hispanic (any race),Ages 75+,2001,1042.7611,1018.7617,1067.1837,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2002,1053.1742,1029.6744,1077.0749,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2003,1037.0177,1014.3885,1060.0245,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2004,1010.7494,989.0371,1032.8184,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2005,1033.9709,1012.6797,1055.597,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2006,997.5588,977.2168,1018.2174,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2007,979.0734,959.4671,998.9794,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2008,978.3854,959.2906,997.7646,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2009,972.0003,953.4551,990.8153,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2010,953.6187,935.7757,971.7161,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2011,953.0556,935.7508,970.5999,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2012,940.386,923.6693,957.3292,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2013,917.6568,901.5825,933.9458,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2014,909.4878,893.913,925.2659,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2015,887.6341,872.6537,902.8071,,,,,
Both Sexes,Hispanic (any race),Ages 75+,2016,888.6656,874.0512,903.4632,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2000,3.0341,2.7471,3.3425,2000-2016,-1.7945,-2.2739,-1.3128,Trend is Falling
Both Sexes,Hispanic (any race),Ages < 20,2001,2.9754,2.696,3.2754,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2002,2.8931,2.6224,3.1837,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2003,2.9961,2.7252,3.2862,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2004,2.8264,2.5666,3.1049,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2005,2.6895,2.4409,2.9563,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2006,2.4245,2.1935,2.6728,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2007,2.6351,2.3973,2.8898,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2008,2.6321,2.3994,2.8809,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2009,2.498,2.275,2.7368,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2010,2.3179,2.105,2.5463,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2011,2.5329,2.3115,2.7695,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2012,2.514,2.2947,2.7483,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2013,2.3007,2.092,2.5246,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2014,2.2744,2.0681,2.4956,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2015,2.197,1.9953,2.4134,,,,,
Both Sexes,Hispanic (any race),Ages < 20,2016,2.424,2.2137,2.6489,,,,,
Both Sexes,Non-Hispanic White,All Ages,2000,199.688,199.1094,200.2679,2000-2016,-1.3529,-1.3781,-1.3278,Trend is Falling
Both Sexes,Non-Hispanic White,All Ages,2001,197.2686,196.6959,197.8425,,,,,
Both Sexes,Non-Hispanic White,All Ages,2002,195.808,195.2406,196.3768,,,,,
Both Sexes,Non-Hispanic White,All Ages,2003,192.5976,192.0381,193.1585,,,,,
Both Sexes,Non-Hispanic White,All Ages,2004,188.9484,188.3966,189.5014,,,,,
Both Sexes,Non-Hispanic White,All Ages,2005,187.591,187.0441,188.1392,,,,,
Both Sexes,Non-Hispanic White,All Ages,2006,185.0023,184.4621,185.5438,,,,,
Both Sexes,Non-Hispanic White,All Ages,2007,182.2762,181.7433,182.8103,,,,,
Both Sexes,Non-Hispanic White,All Ages,2008,179.543,179.0175,180.0697,,,,,
Both Sexes,Non-Hispanic White,All Ages,2009,176.9988,176.4796,177.5192,,,,,
Both Sexes,Non-Hispanic White,All Ages,2010,175.3443,174.8308,175.8591,,,,,
Both Sexes,Non-Hispanic White,All Ages,2011,172.566,172.0593,173.0739,,,,,
Both Sexes,Non-Hispanic White,All Ages,2012,170.2029,169.7037,170.7033,,,,,
Both Sexes,Non-Hispanic White,All Ages,2013,167.4503,166.9588,167.943,,,,,
Both Sexes,Non-Hispanic White,All Ages,2014,165.8428,165.3571,166.3297,,,,,
Both Sexes,Non-Hispanic White,All Ages,2015,163.3726,162.8938,163.8526,,,,,
Both Sexes,Non-Hispanic White,All Ages,2016,160.7111,160.2389,161.1845,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2000,20.4128,20.1808,20.6468,2000-2016,-1.6841,-1.8013,-1.5667,Trend is Falling
Both Sexes,Non-Hispanic White,Ages < 50,2001,20.6273,20.3943,20.8623,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2002,20.3511,20.1196,20.5847,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2003,19.8706,19.6413,20.102,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2004,19.2576,19.0312,19.4861,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2005,19.2933,19.0658,19.5229,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2006,18.8221,18.5963,19.0501,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2007,18.3068,18.0824,18.5334,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2008,18.0036,17.7792,18.2301,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2009,18.2532,18.0251,18.4836,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2010,17.6008,17.3749,17.8289,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2011,17.2181,16.9923,17.4462,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2012,16.8844,16.6586,17.1125,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2013,16.7609,16.5335,16.9907,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2014,16.5517,16.3235,16.7823,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2015,15.8777,15.6526,16.1053,,,,,
Both Sexes,Non-Hispanic White,Ages < 50,2016,15.85,15.624,16.0785,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2000,281.4684,279.6635,283.2821,2000-2008,-1.9759,-2.1372,-1.8143,Trend is Falling
Both Sexes,Non-Hispanic White,Ages 50-64,2001,277.1494,275.3832,278.9241,2008-2016,-1.09,-1.2482,-0.9316,Trend is Falling
Both Sexes,Non-Hispanic White,Ages 50-64,2002,272.2773,270.5608,274.0019,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2003,266.1374,264.4722,267.8105,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2004,258.888,257.2732,260.5105,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2005,254.5282,252.9523,256.1115,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2006,251.9469,250.401,253.5,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2007,244.5979,243.1019,246.1008,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2008,240.2754,238.8089,241.7487,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2009,238.2908,236.8477,239.7405,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2010,234.7656,233.3508,236.1868,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2011,232.4623,231.0694,233.8614,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2012,231.2944,229.9045,232.6907,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2013,227.3609,225.9853,228.7429,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2014,226.5973,225.2272,227.9737,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2015,223.5354,222.1754,224.9017,,,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2016,218.5275,217.1803,219.881,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2000,1129.1358,1125.3164,1132.965,2000-2007,-1.077,-1.1927,-0.9613,Trend is Falling
Both Sexes,Non-Hispanic White,Ages 65+,2001,1113.8893,1110.1028,1117.6856,2007-2016,-1.3992,-1.478,-1.3204,Trend is Falling
Both Sexes,Non-Hispanic White,Ages 65+,2002,1109.6952,1105.9225,1113.4777,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2003,1094.3303,1090.5944,1098.0758,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2004,1077.5682,1073.8683,1081.2777,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2005,1071.7975,1068.121,1075.4836,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2006,1057.0753,1053.4398,1060.7202,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2007,1047.1759,1043.5761,1050.7851,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2008,1032.4149,1028.866,1035.973,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2009,1013.2101,1009.7142,1016.7151,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2010,1008.0378,1004.5732,1011.5114,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2011,990.9792,987.5656,994.4017,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2012,975.5778,972.2321,978.9321,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2013,959.1728,955.8947,962.4593,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2014,948.5577,945.3322,951.7914,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2015,936.5047,933.3313,939.6862,,,,,
Both Sexes,Non-Hispanic White,Ages 65+,2016,921.547,918.43,924.672,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2000,2.5386,2.379,2.706,2000-2016,-1.3528,-1.6904,-1.0139,Trend is Falling
Both Sexes,Non-Hispanic White,Ages <15,2001,2.4936,2.3347,2.6605,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2002,2.5102,2.35,2.6784,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2003,2.5172,2.3561,2.6866,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2004,2.4608,2.3003,2.6295,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2005,2.4331,2.2729,2.6017,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2006,2.29,2.1335,2.4548,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2007,2.3902,2.2297,2.5592,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2008,2.248,2.0919,2.4127,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2009,2.104,1.9524,2.2642,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2010,2.1659,2.0116,2.329,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2011,2.1041,1.9513,2.2657,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2012,2.2334,2.0754,2.4004,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2013,2.1691,2.0128,2.3344,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2014,2.0247,1.8731,2.1853,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2015,2.1861,2.0279,2.3533,,,,,
Both Sexes,Non-Hispanic White,Ages <15,2016,2.1046,1.9489,2.2694,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2000,11.0175,10.7688,11.2706,2000-2016,-1.4604,-1.6872,-1.2331,Trend is Falling
Both Sexes,Non-Hispanic White,Ages 15-39,2001,11.1595,10.9066,11.4168,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2002,10.933,10.6799,11.1905,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2003,10.5901,10.338,10.8468,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2004,10.1253,9.8763,10.379,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2005,9.991,9.7418,10.2448,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2006,9.9968,9.7464,10.252,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2007,9.5526,9.3067,9.8033,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2008,9.5207,9.2741,9.7722,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2009,9.9097,9.656,10.1682,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2010,9.4888,9.2388,9.7437,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2011,9.2801,9.0304,9.5348,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2012,9.1582,8.9098,9.4117,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2013,9.0303,8.7835,9.2821,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2014,9.1189,8.8723,9.3704,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2015,8.7576,8.5174,9.0029,,,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2016,8.9923,8.75,9.2395,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2000,172.8213,171.8207,173.8262,2000-2008,-1.8853,-2.0469,-1.7234,Trend is Falling
Both Sexes,Non-Hispanic White,Ages 40-64,2001,171.0668,170.0833,172.0545,2008-2016,-1.2891,-1.4544,-1.1235,Trend is Falling
Both Sexes,Non-Hispanic White,Ages 40-64,2002,168.2582,167.2985,169.222,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2003,164.4801,163.5455,165.4187,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2004,160.0263,159.1165,160.9401,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2005,158.1364,157.2419,159.0349,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2006,155.8353,154.9561,156.7184,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2007,151.4302,150.573,152.2913,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2008,148.7132,147.8684,149.5618,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2009,147.9759,147.1376,148.8178,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2010,145.1308,144.3067,145.9586,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2011,143.3707,142.5555,144.1895,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2012,142.0508,141.2369,142.8685,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2013,140.0108,139.1993,140.8261,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2014,139.1345,138.3235,139.9493,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2015,136.3269,135.523,137.1346,,,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2016,133.5735,132.774,134.3768,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2000,827.3178,822.7342,831.9206,2000-2010,-1.7887,-1.8772,-1.7002,Trend is Falling
Both Sexes,Non-Hispanic White,Ages 65-74,2001,810.8647,806.3118,815.437,2010-2016,-2.0551,-2.2429,-1.8669,Trend is Falling
Both Sexes,Non-Hispanic White,Ages 65-74,2002,803.1006,798.5528,807.6678,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2003,783.0564,778.5602,787.5722,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2004,768.7057,764.2508,773.1802,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2005,757.8523,753.4353,762.2888,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2006,743.3989,739.0443,747.7727,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2007,731.9784,727.6955,736.2801,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2008,718.6311,714.4563,722.8242,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2009,698.3424,694.287,702.4155,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2010,692.3055,688.3131,696.3152,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2011,677.9228,674.0197,681.8429,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2012,664.3847,660.6274,668.1579,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2013,648.7355,645.1154,652.3709,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2014,633.4804,629.9742,637.0012,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2015,625.733,622.3097,629.1705,,,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2016,609.8082,606.479,613.1511,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2000,1459.3903,1453.1629,1465.6378,2000-2007,-0.6814,-0.8053,-0.5573,Trend is Falling
Both Sexes,Non-Hispanic White,Ages 75+,2001,1445.464,1439.2981,1451.6498,2007-2016,-1.0803,-1.1653,-0.9953,Trend is Falling
Both Sexes,Non-Hispanic White,Ages 75+,2002,1445.1763,1439.0429,1451.3293,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2003,1434.9314,1428.8517,1441.0306,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2004,1415.5307,1409.5113,1421.5695,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2005,1415.3216,1409.3316,1421.3307,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2006,1400.3053,1394.3705,1406.259,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2007,1392.0704,1386.1685,1397.9911,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2008,1375.7624,1369.9033,1381.6403,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2009,1357.7437,1351.9238,1363.5825,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2010,1353.5174,1347.7274,1359.3261,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2011,1333.5308,1327.8009,1339.2791,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2012,1316.0905,1310.4198,1321.7797,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2013,1298.8585,1293.2543,1304.4809,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2014,1293.3206,1287.7637,1298.8956,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2015,1276.5563,1271.0693,1282.0612,,,,,
Both Sexes,Non-Hispanic White,Ages 75+,2016,1262.6569,1257.2426,1268.0888,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2000,2.7725,2.6289,2.9221,2000-2005,-0.7569,-2.0237,0.5263,Stable
Both Sexes,Non-Hispanic White,Ages < 20,2001,2.7302,2.5871,2.8791,2005-2009,-3.5721,-6.5018,-0.5507,Trend is Falling
Both Sexes,Non-Hispanic White,Ages < 20,2002,2.7534,2.6093,2.9034,2009-2016,-0.1637,-1.0399,0.7203,Stable
Both Sexes,Non-Hispanic White,Ages < 20,2003,2.735,2.5909,2.8851,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2004,2.6886,2.5452,2.8381,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2005,2.6827,2.5391,2.8323,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2006,2.4966,2.3575,2.6419,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2007,2.5373,2.3964,2.6843,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2008,2.4139,2.276,2.5579,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2009,2.2781,2.1436,2.4188,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2010,2.2854,2.1499,2.4273,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2011,2.2589,2.1234,2.4008,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2012,2.3781,2.2383,2.5244,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2013,2.3499,2.2104,2.496,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2014,2.2453,2.1084,2.3887,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2015,2.2916,2.1526,2.4373,,,,,
Both Sexes,Non-Hispanic White,Ages < 20,2016,2.2586,2.1202,2.4036,,,,,
Both Sexes,White (includes Hispanic),All Ages,2000,196.3704,195.815,196.9269,2000-2016,-1.4043,-1.4298,-1.3788,Trend is Falling
Both Sexes,White (includes Hispanic),All Ages,2001,193.9779,193.4291,194.5279,,,,,
Both Sexes,White (includes Hispanic),All Ages,2002,192.3762,191.8333,192.9204,,,,,
Both Sexes,White (includes Hispanic),All Ages,2003,189.1006,188.566,189.6363,,,,,
Both Sexes,White (includes Hispanic),All Ages,2004,185.2059,184.6799,185.7331,,,,,
Both Sexes,White (includes Hispanic),All Ages,2005,183.8733,183.3527,184.395,,,,,
Both Sexes,White (includes Hispanic),All Ages,2006,181.1004,180.5873,181.6147,,,,,
Both Sexes,White (includes Hispanic),All Ages,2007,178.2993,177.794,178.8057,,,,,
Both Sexes,White (includes Hispanic),All Ages,2008,175.6948,175.1971,176.1935,,,,,
Both Sexes,White (includes Hispanic),All Ages,2009,173.0255,172.5351,173.5171,,,,,
Both Sexes,White (includes Hispanic),All Ages,2010,171.3537,170.8695,171.8391,,,,,
Both Sexes,White (includes Hispanic),All Ages,2011,168.5399,168.0632,169.0178,,,,,
