Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type,,,
Both Sexes,Hispanic (any race),Ages 65-74,2013,17.0638,15.256,19.0256,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 65-74,2014,17.2066,15.4341,19.1253,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 65-74,2015,16.6248,14.9323,18.4549,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 65-74,2016,15.8317,14.2266,17.5664,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2000,45.6313,40.5888,51.1285,2000-2016,-0.7187,-1.2493,-0.1853,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2001,47.9167,42.8952,53.3663,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2002,47.5666,42.7053,52.8315,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2003,46.6849,41.9827,51.7698,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2004,44.4158,39.9777,49.2133,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2005,48.4353,43.941,53.2662,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2006,43.961,39.7947,48.4462,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2007,46.4859,42.293,50.9821,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2008,44.8284,40.8194,49.1249,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2009,48.0359,43.9811,52.3636,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2010,44.7274,40.9255,48.7871,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2011,44.8263,41.1397,48.7548,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2012,43.2865,39.7618,47.0399,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2013,44.2138,40.7424,47.9019,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2014,43.7442,40.3791,47.3149,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2015,37.7395,34.7001,40.9738,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages 75+,2016,44.8266,41.5893,48.2488,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2000,-,-,-,2000-2016,-,-,-,-,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2001,0.1279,0.0745,0.2037,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2002,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2003,0.1356,0.0827,0.209,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2004,0.1362,0.0832,0.2094,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2005,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2006,0.1176,0.0707,0.1831,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2007,0.12,0.0733,0.1848,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2008,0.126,0.0789,0.1904,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2009,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2010,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2011,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2012,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2013,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2014,0.0824,0.047,0.1337,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2015,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Hispanic (any race),Ages < 20,2016,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2000,8.6325,8.5126,8.7537,2000-2005,-3.3788,-3.6669,-3.0899,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2001,8.3131,8.196,8.4315,2005-2016,-2.2671,-2.3611,-2.173,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2002,8.0469,7.9323,8.1629,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2003,7.7791,7.6672,7.8924,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2004,7.4679,7.3587,7.5785,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2005,7.3223,7.2147,7.4312,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2006,7.0878,6.9824,7.1944,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2007,6.924,6.8205,7.0288,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2008,6.7851,6.6832,6.8882,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2009,6.6024,6.5025,6.7036,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2010,6.4163,6.3185,6.5154,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2011,6.349,6.2521,6.4472,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2012,6.2056,6.1106,6.3018,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2013,5.9864,5.8939,6.0801,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2014,5.9307,5.8392,6.0234,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2015,5.753,5.6636,5.8437,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,All Ages,2016,5.6681,5.5799,5.7575,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2000,0.9833,0.9326,1.036,2000-2004,-7.6286,-9.8005,-5.4043,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2001,0.9346,0.8853,0.986,2004-2016,-4.1521,-4.7198,-3.581,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2002,0.8601,0.8127,0.9097,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2003,0.7807,0.7355,0.828,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2004,0.7271,0.6833,0.7731,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2005,0.6945,0.6514,0.7398,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2006,0.6427,0.6012,0.6865,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2007,0.643,0.6011,0.6872,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2008,0.6338,0.5917,0.678,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2009,0.5846,0.544,0.6274,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2010,0.5556,0.5159,0.5976,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2011,0.575,0.534,0.6184,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2012,0.4952,0.4569,0.5359,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2013,0.4737,0.4361,0.5137,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2014,0.4827,0.4444,0.5235,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2015,0.447,0.41,0.4865,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 50,2016,0.4467,0.4096,0.4863,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2000,10.4846,10.1386,10.8395,2000-2006,-6.1275,-6.5613,-5.6918,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2001,9.8286,9.4983,10.1675,2006-2016,-3.3813,-3.6085,-3.1536,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2002,9.1328,8.8207,9.4532,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2003,8.6703,8.372,8.9766,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2004,8.0255,7.7432,8.3155,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2005,7.604,7.334,7.8815,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2006,7.2248,6.9648,7.492,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2007,6.9269,6.6773,7.1836,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2008,6.5968,6.3563,6.8442,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2009,6.4786,6.2431,6.7208,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2010,6.2037,5.9762,6.4376,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2011,6.0508,5.8293,6.2786,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2012,5.8782,5.6595,6.1033,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2013,5.4905,5.2794,5.7078,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2014,5.4143,5.2051,5.6298,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2015,5.3041,5.0973,5.5172,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 50-64,2016,5.0617,4.859,5.2708,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2000,50.2322,49.4301,51.044,2000-2004,-2.3926,-2.8269,-1.9564,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2001,48.7625,47.9743,49.5603,2004-2016,-1.9087,-1.9941,-1.8234,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2002,47.9085,47.129,48.6977,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2003,46.793,46.0254,47.5702,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2004,45.4025,44.6483,46.1663,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2005,44.9374,44.1902,45.6941,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2006,43.8279,43.0931,44.5721,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2007,42.8838,42.161,43.6159,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2008,42.2297,41.5172,42.9513,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2009,41.206,40.5058,41.9153,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2010,40.2259,39.5391,40.9215,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2011,39.7633,39.0842,40.4512,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2012,39.2904,38.6222,39.9672,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2013,38.1393,37.4879,38.7991,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2014,37.7371,37.0955,38.3869,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2015,36.6667,36.0396,37.302,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65+,2016,36.2843,35.6669,36.9096,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2000,0.1055,0.0754,0.1439,2000-2016,-4.9335,-7.3266,-2.4786,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2001,0.074,0.0492,0.1072,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2002,0.1377,0.1025,0.1812,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2003,0.0656,0.042,0.0978,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2004,0.0647,0.041,0.0971,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2005,0.1085,0.0771,0.1485,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2006,0.0713,0.0461,0.1053,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2007,0.0636,0.0398,0.0963,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2008,0.0531,0.0314,0.0839,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2009,0.073,0.0473,0.1079,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2010,0.0501,0.0292,0.0803,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2011,0.0536,0.0317,0.0847,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2012,0.051,0.0297,0.0818,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2013,0.0541,0.0321,0.0856,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2014,0.0609,0.0372,0.0941,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2015,0.0554,0.0328,0.0876,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages <15,2016,0.0494,0.0283,0.0803,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2000,0.7339,0.6705,0.8017,2000-2016,-4.8561,-5.4049,-4.3042,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2001,0.7109,0.6481,0.7782,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2002,0.6263,0.5668,0.6903,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2003,0.574,0.5166,0.636,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2004,0.5704,0.5127,0.6328,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2005,0.5008,0.4465,0.5599,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2006,0.4758,0.4227,0.5336,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2007,0.5089,0.4537,0.5689,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2008,0.5148,0.4589,0.5755,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2009,0.4554,0.4028,0.5128,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2010,0.4128,0.3625,0.4681,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2011,0.4289,0.377,0.4859,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2012,0.39,0.3408,0.4443,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2013,0.3509,0.3043,0.4025,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2014,0.3471,0.301,0.3981,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2015,0.347,0.3009,0.3981,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 15-39,2016,0.3253,0.2813,0.3743,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2000,6.5827,6.3884,6.7813,2000-2006,-6.279,-6.77,-5.7855,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2001,6.1922,6.006,6.3826,2006-2016,-3.4598,-3.7303,-3.1885,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2002,5.7254,5.5493,5.9057,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2003,5.4201,5.2515,5.5929,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2004,4.9792,4.8197,5.1428,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2005,4.744,4.59,4.9019,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2006,4.4891,4.3407,4.6415,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2007,4.3096,4.1659,4.4571,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2008,4.1252,3.9854,4.2688,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2009,4.005,3.8683,4.1455,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2010,3.8663,3.7328,4.0036,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2011,3.8158,3.6835,3.9519,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2012,3.5879,3.4599,3.7196,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2013,3.3889,3.2639,3.5176,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2014,3.3725,3.2469,3.502,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2015,3.237,3.1146,3.3633,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 40-64,2016,3.1462,3.024,3.2723,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2000,32.3158,31.4151,33.2357,2000-2008,-3.7963,-4.0992,-3.4924,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2001,31.221,30.3331,32.1284,2008-2016,-2.6747,-2.9967,-2.3517,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2002,30.4015,29.5219,31.3007,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2003,28.5969,27.7427,29.4708,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2004,27.9226,27.0783,28.7865,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2005,26.5597,25.737,27.402,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2006,25.6877,24.8819,26.5128,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2007,24.8232,24.0381,25.6272,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2008,23.4907,22.7393,24.2604,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2009,23.0673,22.3328,23.8196,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2010,22.8831,22.1598,23.6239,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2011,22.0917,21.3899,22.8105,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2012,21.6017,20.925,22.2945,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2013,20.5568,19.9139,21.2152,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2014,20.3534,19.726,20.9956,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2015,19.3672,18.7662,19.9824,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 65-74,2016,19.2612,18.6697,19.8666,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2000,69.8366,68.4798,71.2136,2000-2016,-1.4414,-1.5217,-1.3611,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2001,67.9566,66.6257,69.3074,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2002,67.065,65.7499,68.3998,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2003,66.7034,65.3989,68.0273,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2004,64.5294,63.2516,65.8265,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2005,65.0466,63.7699,66.3424,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2006,63.6771,62.4191,64.9541,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2007,62.6461,61.4028,63.9082,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2008,62.7342,61.4921,63.9951,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2009,61.0537,59.83,62.2961,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2010,59.2026,58.0047,60.4191,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2011,59.0999,57.9056,60.3127,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2012,58.6457,57.461,59.8488,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2013,57.3783,56.2121,58.5627,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2014,56.7585,55.6059,57.9291,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2015,55.5961,54.4615,56.7485,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages 75+,2016,54.9111,53.7942,56.0455,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2000,0.1601,0.1273,0.1988,2000-2016,-4.4481,-5.7772,-3.1003,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2001,0.1191,0.0911,0.153,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2002,0.1474,0.1157,0.1852,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2003,0.1107,0.0836,0.1439,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2004,0.1155,0.0876,0.1494,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2005,0.1422,0.111,0.1795,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2006,0.0953,0.0699,0.1268,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2007,0.0972,0.0716,0.1291,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2008,0.1013,0.0751,0.1338,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2009,0.0898,0.065,0.1212,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2010,0.0854,0.0612,0.116,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2011,0.0808,0.0572,0.1111,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2012,0.0651,0.0439,0.0931,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,Non-Hispanic White,Ages < 20,2013,0.0783,0.0548,0.1085,,,,,,Non-Hodgkin Lymphoma,,,
